Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Kazakhstan,KAZ,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,9650.20558388936,9717.20970776673,9723.30992648528,10024.0108406422,..
Kenya,KEN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1113.18776047637,1134.44095517687,1181.87421086136,1212.96422475079,..
Kiribati,KIR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3259.94074032247,3487.55261703091,3440.58380690726,..,..
"Korea, Dem. People’s Rep.",PRK,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
"Korea, Rep.",KOR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,26824.5879849526,27606.5071107227,28165.4894666582,28864.1868315498,..
Kosovo,XKX,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,4050.439715959,4228.11483536688,4357.13104518178,4566.86211787502,..
Kuwait,KWT,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,39989.5096305096,37677.4673425368,37727.0955682222,..,..
Kyrgyz Republic,KGZ,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,987.04235565685,1017.55759991818,1054.90254141705,1030.51384069985,..
Lao PDR,LAO,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1546.57353568493,..,..,..,..
Latvia,LVA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,14697.4812546408,15357.833361661,15927.272731536,..,..
Lebanon,LBN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,6298.73794987991,6343.12622343942,6174.90495362694,5830.77154344201,..
Lesotho,LSO,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1616.76663335504,1588.20301434987,1572.36486112902,1588.32291792282,..
Liberia,LBR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,500.003813158573,497.306358671167,476.875470729121,..,..
Libya,LBY,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Liechtenstein,LIE,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Lithuania,LTU,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,15352.0567516836,16217.9810369322,17066.3519360562,..,..
Luxembourg,LUX,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,69131.2652628439,69597.2805840401,69338.6393569392,..,..
"Macao SAR, China",MAC,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,47937.2299254052,51153.2308958087,53047.0734811607,..,..
Madagascar,MDG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,457.429716484639,467.668461605749,476.170429374211,484.391490729022,..
Malawi,MWI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,503.861297779316,497.37095571463,500.191814207857,508.372940765094,..
Malaysia,MYS,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,10938.8302549706,11401.6766158092,11692.3172307429,12122.3096343678,..
Maldives,MDV,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Mali,MLI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,728.740390099529,741.919079043488,758.774310672836,773.895519717907,..
Malta,MLT,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,24526.6699810933,25206.0757386445,26273.7440429318,26353.9822471122,..
Marshall Islands,MHL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3876.72163190612,3942.21780643582,4017.38033768606,..,..
Mauritania,MRT,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1677.08662910355,1693.66102628934,1697.16018176199,1737.65331898711,..
Mauritius,MUS,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,10494.4603791997,11023.3525305239,11431.5001737266,..,..
Mexico,MEX,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,9942.05447464915,10045.5176097658,10137.1974051535,9972.45850357865,..
"Micronesia, Fed. Sts.",FSM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Moldova,MDA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3298.08432336433,3521.77220166479,3706.82573103387,..,..
Monaco,MCO,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Mongolia,MNG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3540.26633418242,3399.43272243219,3764.58131760456,3791.01787091191,..
Montenegro,MNE,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,7568.93172192276,8038.12993473793,8363.91237327076,8585.58988188592,..
Morocco,MAR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3150.06718604659,3239.65811944683,3289.41090231342,3328.90245212156,..
Mozambique,MOZ,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,571.131833872679,569.918916269415,578.720495058405,572.196601606131,..
Myanmar,MMR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1365.73327140218,1441.40192814974,1518.57526617595,..,..
Namibia,NAM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,6006.6031295046,5884.41114990789,5736.40193651448,5580.52122391144,..
Nauru,NRU,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Nepal,NPL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,741.301531279584,789.041206678437,824.420007195201,869.948467744109,..
Netherlands,NLD,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,51946.5842537145,54348.7718732416,55565.6955675613,..,..
New Caledonia,NCL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
New Zealand,NZL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,36088.9511839367,36208.4002461074,37338.0246695771,..,..
Nicaragua,NIC,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1841.447807133,1903.47800337788,1812.14595202614,..,..
Niger,NER,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,518.21599232001,523.410464079074,539.781409369961,550.034788627062,..
Nigeria,NGA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,2414.9833995973,2354.66768824304,2306.61697359762,..,..
North Macedonia,MKD,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,5024.04064635333,5076.44132212597,5200.74540214768,5400.06058734774,..
Northern Mariana Islands,MNP,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Norway,NOR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,93958.6287068254,95345.2441767592,95995.000407379,..,..
Oman,OMN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,15833.4318569488,15090.9528250614,14391.3813039573,..,..
Pakistan,PAK,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1186.05618463282,1218.88220332695,1262.01352963354,1265.38196614352,..
Palau,PLW,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,13716.6232899131,12836.1991600156,13013.0089636292,..,..
Panama,PAN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,10270.9000646142,10806.9952042464,..,..,..
Papua New Guinea,PNG,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Paraguay,PRY,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,4887.62279931246,5112.35481701079,5202.51763023749,5120.48731017598,..
Peru,PER,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,6014.1633917712,6030.12845611551,6143.36745098178,6192.45166624014,..
Philippines,PHL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3199.86066177594,3368.95648252243,3517.53885403406,3653.31624302928,..
Poland,POL,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,14465.8228232197,15194.1057082198,15995.97615529,16606.4979537013,..
Portugal,PRT,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,21970.3722679932,22817.2163988293,23429.0526249051,23987.670752139,..
Puerto Rico,PRI,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,18459.4972951053,18242.9608106467,17955.1783867159,..,..
Qatar,QAT,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,62978.4736998347,62518.7624138576,..,..,..
Romania,ROU,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,10096.2125491115,10865.5542822133,11358.3243588118,11956.6354046162,..
Russian Federation,RUS,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,11064.9669049462,11259.3085934117,11548.7291706943,11635.5592536997,..
Rwanda,RWA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,773.348839082562,775.718577683621,821.043606781025,875.648359338971,..
Samoa,WSM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
San Marino,SMR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Sao Tome and Principe,STP,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Saudi Arabia,SAU,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,21684.1252633842,20968.8045440861,20990.5417378307,20729.3278530072,..
Senegal,SEN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1392.52411068228,1451.55488352501,1505.62827740763,1542.48373933193,..
Serbia,SRB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,6039.90494424556,6126.71147019849,6532.01141504476,6817.42196442772,..
Seychelles,SYC,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Sierra Leone,SLE,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,408.12514925481,452.27350655043,..,..,..
Singapore,SGP,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,51530.1750197435,52894.6058077506,53113.6921503326,53147.4909188702,..
Sint Maarten (Dutch part),SXM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Slovak Republic,SVK,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,18926.5822301565,19433.9453958605,..,..,..
Slovenia,SVN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,23924.6378155219,25254.3098504577,26261.733043749,..,..
Solomon Islands,SLB,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Somalia,SOM,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
South Africa,ZAF,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,7267.13367636013,7247.0402141805,7193.75873602371,7133.41184290419,..
South Sudan,SSD,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Spain,ESP,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,31530.8028159964,32279.2891919336,32974.8035228976,..,..
Sri Lanka,LKA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,3663.56643648333,3752.296941178,3833.39665360554,3892.09237549918,..
St. Kitts and Nevis,KNA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
St. Lucia,LCA,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
St. Martin (French part),MAF,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
St. Vincent and the Grenadines,VCT,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Sudan,SDN,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,1841.4749554612,1840.68702852774,1697.35923129169,1676.41626640792,..
Suriname,SUR,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,..,..,..,..,..
Sweden,SWE,GNI per capita (constant 2010 US$),NY.GNP.PCAP.KD,57057.6227602264,58383.4052792973,58850.0212473337,59381.8866542343,..
