Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Turkmenistan,TKM,GNI (current US$),NY.GNP.MKTP.CD,35225885714.2857,36352285714.2857,39044183542.8571,..,..
Turks and Caicos Islands,TCA,GNI (current US$),NY.GNP.MKTP.CD,953114810,946059440,990529285.513031,..,..
Tuvalu,TUV,GNI (current US$),NY.GNP.MKTP.CD,55456437.7044306,58095263.6419375,64107890.0179319,65326451.1644074,..
Uganda,UGA,GNI (current US$),NY.GNP.MKTP.CD,28455385086.7147,30032761102.0888,31846380321.7522,33471286439.2026,..
Ukraine,UKR,GNI (current US$),NY.GNP.MKTP.CD,94832995601.0066,114769355767.279,134249857476.885,158534067156.499,..
United Arab Emirates,ARE,GNI (current US$),NY.GNP.MKTP.CD,359141729067.393,388382906446.44,423639141610.837,423200811164.335,..
United Kingdom,GBR,GNI (current US$),NY.GNP.MKTP.CD,2629567074529.95,2634441641460.85,2816805927384.43,2788384242983.84,..
United States,USA,GNI (current US$),NY.GNP.MKTP.CD,19045164000000,19830277000000,20837347000000,21624995750000,..
Uruguay,URY,GNI (current US$),NY.GNP.MKTP.CD,50093590963.6437,55987445146.5316,55472906965.9206,52721605686.0328,..
Uzbekistan,UZB,GNI (current US$),NY.GNP.MKTP.CD,82710512350.6877,60370825984.6048,51899655848.3278,58794690530.2877,..
Vanuatu,VUT,GNI (current US$),NY.GNP.MKTP.CD,802221710.071445,869173666.862053,914589381.882084,925962626.024806,..
"Venezuela, RB",VEN,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
Vietnam,VNM,GNI (current US$),NY.GNP.MKTP.CD,196686612384.35,206916542706.113,228056835552.527,242273815289.321,..
Virgin Islands (U.S.),VIR,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
West Bank and Gaza,PSE,GNI (current US$),NY.GNP.MKTP.CD,15321900000,16490000000,17009800000,..,..
"Yemen, Rep.",YEM,GNI (current US$),NY.GNP.MKTP.CD,28084676409.1858,24561327989.312,27578893242.2335,..,..
Zambia,ZMB,GNI (current US$),NY.GNP.MKTP.CD,20307658970.5797,24723431482.7459,26598250246.2206,22766675291.3247,..
Zimbabwe,ZWE,GNI (current US$),NY.GNP.MKTP.CD,18772952300,20079596800,22706648400,19835846600,..
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 10/15/2020,,,,,,,,
